season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile
2020-2021,El_waha,Elshawal,0.75,0.47,0.53,4.33,1.64,0.26,0.76,0.49,0.51,4.53,1.72,0.27,0,0.08,0.33,0.01,0,0,0.83,0.67,0.92,6.85,2.6,0.31,0.07,0.09,0.09,1,0.38,0.02,0.74,0.44,0.47,3.91,1.48,0.26,0.25,0.78,0.53,0.56,4.98,1.89,0.27,0.75
2020-2021,Ranjouk,Gabouga,0.73,0.43,0.57,4.02,1.53,0.26,0.75,0.45,0.55,4.27,1.62,0.27,0,0.08,0.34,0.15,0.06,0.06,0.84,0.66,0.92,6.37,2.42,0.3,0.09,0.11,0.11,1.2,0.46,0.03,0.72,0.38,0.5,3.5,1.33,0.27,0.25,0.78,0.5,0.62,4.85,1.84,0.28,0.75
2021-2022,57,Wad Elnaw,0.76,0.52,0.48,4.57,1.74,0.29,0.78,0.53,0.47,4.75,1.8,0.29,0.13,0.09,0.19,0.34,0.13,0.13,0.86,0.81,0.91,7.26,2.75,0.35,0.07,0.12,0.12,1.19,0.45,0.03,0.75,0.46,0.41,4.06,1.54,0.28,0.25,0.8,0.59,0.54,5.36,2.03,0.3,0.75
2021-2022,88,Elbasatna,0.78,0.57,0.43,5.22,1.98,0.3,0.79,0.58,0.42,5.37,2.04,0.3,0,0.09,0.1,0.24,0.09,0.09,0.87,0.9,0.91,9.03,3.42,0.35,0.07,0.12,0.12,1.26,0.48,0.02,0.77,0.5,0.35,4.64,1.76,0.3,0.25,0.81,0.65,0.5,6.03,2.29,0.31,0.75
2021-2022,Abdah_Fadul,Tabat,0.77,0.46,0.54,5.1,1.94,0.36,0.78,0.48,0.52,5.36,2.03,0.37,0,0.05,0.17,0.21,0.08,0.09,0.87,0.83,0.95,9.28,3.52,0.44,0.08,0.12,0.12,1.53,0.58,0.04,0.76,0.39,0.46,4.31,1.63,0.35,0.25,0.81,0.54,0.61,6.18,2.34,0.38,0.75
2021-2022,Abu_Gin,Kab_Elgidad,0.78,0.47,0.53,5.93,2.25,0.41,0.8,0.49,0.51,6.19,2.35,0.42,0,0.04,0.21,0,0,0,0.88,0.79,0.96,10.96,4.16,0.53,0.09,0.12,0.12,1.83,0.69,0.05,0.78,0.41,0.45,5.06,1.92,0.4,0.25,0.82,0.55,0.59,7.12,2.7,0.44,0.75
2021-2022,Abu_Hawa,Elhafair,0.76,0.46,0.54,5.07,1.93,0.35,0.78,0.48,0.52,5.39,2.04,0.36,0.11,0.08,0.29,0.39,0.15,0.15,0.84,0.71,0.92,8.52,3.23,0.42,0.06,0.11,0.11,1.45,0.55,0.03,0.75,0.4,0.46,4.3,1.63,0.34,0.25,0.8,0.54,0.6,6.07,2.3,0.37,0.75
2021-2022,Abu_Quta,Abd_ElMagid,0.77,0.41,0.59,5.15,1.95,0.4,0.8,0.44,0.56,5.59,2.12,0.41,0,0.04,0.28,0,0,0,0.88,0.72,0.96,9.55,3.62,0.51,0.1,0.13,0.13,1.93,0.73,0.05,0.76,0.34,0.49,4.08,1.55,0.39,0.25,0.82,0.51,0.66,6.56,2.49,0.43,0.75
2021-2022,Abu_Usher,Al_Gourashi,0.78,0.5,0.5,5.63,2.14,0.38,0.8,0.51,0.49,5.81,2.21,0.38,0,0.06,0,0,0,0,0.89,1,0.94,13.29,5.04,0.47,0.09,0.13,0.13,1.67,0.63,0.04,0.76,0.43,0.42,4.82,1.83,0.37,0.25,0.82,0.58,0.57,6.74,2.56,0.39,0.75
2021-2022,Affan,Matouri,0.77,0.5,0.5,5.14,1.95,0.33,0.78,0.52,0.48,5.34,2.03,0.33,0,0.05,0.18,0.04,0.02,0.03,0.87,0.82,0.95,8.72,3.31,0.39,0.06,0.11,0.11,1.32,0.5,0.03,0.76,0.44,0.43,4.52,1.71,0.32,0.25,0.8,0.57,0.56,6,2.27,0.34,0.75
2021-2022,Al_Awamrah,Abd_ElMagid,0.77,0.41,0.59,5.14,1.95,0.4,0.8,0.44,0.56,5.57,2.12,0.42,0,0.04,0.32,0.04,0.01,0.03,0.87,0.68,0.96,9.99,3.79,0.5,0.11,0.14,0.14,2.04,0.77,0.05,0.76,0.31,0.49,3.68,1.4,0.39,0.25,0.83,0.51,0.69,6.65,2.52,0.44,0.75
2021-2022,Al_Saadana,Turabi,0.79,0.5,0.5,5.85,2.22,0.39,0.81,0.52,0.48,6.21,2.35,0.4,0,0.06,0.14,0.04,0.01,0.02,0.89,0.86,0.94,11.59,4.4,0.48,0.08,0.14,0.14,1.86,0.71,0.04,0.78,0.42,0.41,4.98,1.89,0.38,0.25,0.83,0.59,0.58,7.12,2.7,0.41,0.75
2021-2022,Umm_Juha,Turabi,0.78,0.42,0.58,5.52,2.09,0.42,0.8,0.44,0.56,5.82,2.21,0.44,0,0.05,0.25,0.08,0.03,0.06,0.88,0.75,0.95,10.54,4,0.51,0.1,0.12,0.12,1.82,0.69,0.05,0.77,0.36,0.49,4.49,1.7,0.41,0.25,0.83,0.51,0.64,6.8,2.58,0.45,0.75
2021-2022,Turabi_Al_Riyasa,Turabi,0.79,0.47,0.53,5.82,2.21,0.41,0.82,0.49,0.51,6.11,2.32,0.42,0,0.05,0.2,0,0,0,0.89,0.8,0.95,10.7,4.06,0.51,0.1,0.13,0.13,1.89,0.72,0.05,0.79,0.4,0.44,4.84,1.84,0.4,0.25,0.84,0.56,0.6,7.16,2.72,0.43,0.75
2021-2022,Wad_Bala,Turabi,0.78,0.44,0.56,5.38,2.04,0.4,0.79,0.45,0.55,5.54,2.1,0.41,0,0.04,0.21,0,0,0,0.89,0.79,0.96,9.42,3.57,0.49,0.09,0.12,0.12,1.66,0.63,0.05,0.76,0.38,0.47,4.46,1.69,0.39,0.25,0.82,0.53,0.62,6.52,2.47,0.42,0.75
2021-2022,Fargin,Kab_Elgidad,0.78,0.43,0.57,5.67,2.15,0.43,0.8,0.45,0.55,5.99,2.27,0.44,0,0.04,0.27,0,0,0,0.88,0.73,0.96,11.03,4.19,0.52,0.09,0.12,0.12,1.8,0.68,0.05,0.78,0.37,0.49,4.82,1.83,0.42,0.25,0.82,0.51,0.63,6.81,2.58,0.45,0.75
2021-2022,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.76,0.41,0.59,4.92,1.87,0.39,0.79,0.43,0.57,5.2,1.97,0.4,0,0.05,0.33,0.1,0.04,0.06,0.85,0.67,0.95,8.22,3.12,0.45,0.1,0.12,0.12,1.75,0.66,0.05,0.75,0.33,0.49,3.86,1.46,0.38,0.25,0.81,0.51,0.67,6.21,2.36,0.41,0.75
2021-2022,Fawar,Tabat,0.77,0.46,0.54,5.41,2.05,0.38,0.79,0.48,0.52,5.7,2.16,0.4,0,0.05,0.24,0.18,0.07,0.09,0.86,0.76,0.95,9.61,3.64,0.47,0.08,0.13,0.13,1.76,0.67,0.04,0.76,0.38,0.45,4.45,1.69,0.38,0.25,0.81,0.55,0.62,6.6,2.51,0.41,0.75
2021-2022,Abd_Elmagid,Surhan,0.78,0.44,0.56,5.4,2.05,0.39,0.79,0.46,0.54,5.67,2.15,0.4,0.08,0.06,0.34,0.32,0.12,0.18,0.85,0.66,0.94,9.01,3.42,0.45,0.06,0.1,0.1,1.46,0.56,0.03,0.77,0.39,0.49,4.74,1.8,0.39,0.25,0.8,0.51,0.61,6.39,2.42,0.41,0.75
2021-2022,Surhan_Al_Riyasa,Surhan,0.76,0.45,0.55,5.24,1.99,0.37,0.78,0.46,0.54,5.48,2.08,0.38,0,0.05,0.21,0,0,0,0.86,0.79,0.95,9.07,3.44,0.46,0.08,0.11,0.11,1.51,0.57,0.04,0.75,0.39,0.48,4.53,1.72,0.37,0.25,0.8,0.52,0.61,6.23,2.36,0.39,0.75
2021-2022,Istarhna,Al_Gourashi,0.74,0.4,0.6,4.47,1.69,0.36,0.76,0.41,0.59,4.67,1.77,0.37,0,0.04,0.17,0,0,0,0.86,0.83,0.96,10.24,3.89,0.46,0.09,0.1,0.1,1.36,0.52,0.04,0.73,0.35,0.53,3.82,1.45,0.35,0.25,0.79,0.47,0.65,5.35,2.03,0.39,0.75
2021-2022,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.75,0.42,0.58,4.63,1.76,0.36,0.77,0.44,0.56,4.9,1.86,0.37,0,0.07,0.25,0,0,0,0.88,0.75,0.93,8.54,3.24,0.41,0.12,0.12,0.12,1.49,0.57,0.05,0.74,0.36,0.5,3.92,1.49,0.35,0.25,0.8,0.5,0.64,5.63,2.14,0.38,0.75
2021-2022,El_Rukun,Tabat,0.75,0.44,0.56,4.63,1.76,0.35,0.76,0.45,0.55,4.84,1.84,0.35,0.06,0.07,0.33,0.25,0.1,0.11,0.84,0.67,0.93,7.84,2.97,0.42,0.08,0.1,0.1,1.31,0.5,0.03,0.74,0.38,0.49,3.96,1.5,0.34,0.25,0.79,0.51,0.62,5.52,2.1,0.37,0.75
2021-2022,Wad_El_Saiyid,Elmessellamia,0.77,0.47,0.53,4.91,1.86,0.34,0.79,0.49,0.51,5.18,1.97,0.35,0,0.06,0.25,0.07,0.02,0.03,0.87,0.75,0.94,7.87,2.98,0.4,0.08,0.11,0.11,1.38,0.52,0.04,0.76,0.41,0.46,4.27,1.62,0.33,0.25,0.81,0.54,0.59,5.85,2.22,0.36,0.75
2021-2022,Al_Firijab,Surhan,0.76,0.46,0.54,4.99,1.89,0.35,0.78,0.49,0.51,5.34,2.02,0.36,0,0.06,0.28,0.06,0.02,0.03,0.85,0.72,0.94,8.57,3.25,0.4,0.08,0.11,0.11,1.51,0.57,0.04,0.76,0.41,0.46,4.26,1.62,0.34,0.25,0.8,0.54,0.59,6,2.28,0.37,0.75
2021-2022,Tannub,Tabat,0.78,0.53,0.47,5.61,2.13,0.35,0.8,0.54,0.46,5.83,2.21,0.35,0.06,0.07,0.14,0.29,0.11,0.14,0.87,0.86,0.93,9.69,3.68,0.42,0.07,0.12,0.12,1.51,0.57,0.03,0.77,0.46,0.38,4.8,1.82,0.34,0.25,0.82,0.62,0.54,6.64,2.52,0.36,0.75
2021-2022,Tabat_Al_Riyasa,Tabat,0.77,0.5,0.5,5.21,1.98,0.34,0.78,0.51,0.49,5.36,2.04,0.35,0,0.06,0.18,0.06,0.02,0.02,0.86,0.82,0.94,9.29,3.52,0.4,0.07,0.1,0.1,1.29,0.49,0.03,0.76,0.45,0.44,4.61,1.75,0.33,0.25,0.8,0.56,0.55,6.03,2.29,0.36,0.75
2021-2022,Saad_Allah,Elmessellamia,0.76,0.47,0.53,4.68,1.78,0.33,0.78,0.48,0.52,4.85,1.84,0.33,0.12,0.07,0.18,0.38,0.14,0.15,0.87,0.82,0.93,7.72,2.93,0.39,0.06,0.1,0.1,1.18,0.45,0.03,0.75,0.42,0.47,4.12,1.56,0.32,0.25,0.8,0.53,0.58,5.47,2.08,0.34,0.75
2021-2022,Wad_ElBurr,Wad_ElBurr,0.79,0.58,0.42,5.74,2.18,0.32,0.8,0.59,0.41,5.96,2.26,0.33,0,0.07,0.13,0.06,0.02,0.03,0.87,0.87,0.93,9.07,3.44,0.37,0.07,0.13,0.13,1.46,0.55,0.03,0.78,0.51,0.34,5.04,1.91,0.32,0.25,0.82,0.66,0.49,6.67,2.53,0.34,0.75
2021-2022,Wad_Hilal,Wad_ElBurr,0.77,0.5,0.5,5.09,1.93,0.32,0.79,0.51,0.49,5.32,2.02,0.33,0.02,0.07,0.14,0.15,0.06,0.07,0.86,0.86,0.93,8.71,3.3,0.39,0.08,0.13,0.13,1.45,0.55,0.03,0.76,0.44,0.42,4.41,1.67,0.32,0.25,0.81,0.58,0.56,6.03,2.29,0.34,0.75
2021-2022,Elmessellamia_Al_Riyasa,Elmessellamia,0.78,0.51,0.49,5.08,1.93,0.32,0.79,0.52,0.48,5.25,1.99,0.33,0.26,0.1,0.24,0.5,0.19,0.17,0.85,0.76,0.9,8.15,3.09,0.37,0.05,0.1,0.1,1.15,0.44,0.02,0.77,0.47,0.42,4.53,1.72,0.32,0.25,0.81,0.58,0.53,5.83,2.21,0.34,0.75
2021-2022,Beika,Elmessellamia,0.77,0.5,0.5,4.95,1.88,0.32,0.78,0.51,0.49,5.12,1.94,0.33,0,0.06,0.17,0,0,0,0.88,0.83,0.94,8.48,3.22,0.4,0.07,0.11,0.11,1.28,0.48,0.03,0.76,0.45,0.43,4.32,1.64,0.31,0.25,0.81,0.57,0.55,5.76,2.19,0.33,0.75
2021-2022,Bortobeil,Elbasatna,0.78,0.54,0.46,5.22,1.98,0.31,0.79,0.55,0.45,5.35,2.03,0.32,0,0.07,0.12,0.15,0.06,0.07,0.87,0.88,0.93,9.06,3.44,0.36,0.06,0.12,0.12,1.3,0.49,0.02,0.76,0.49,0.38,4.61,1.75,0.31,0.25,0.81,0.62,0.51,5.98,2.27,0.32,0.75
2021-2022,Barakat_Al_Riyasa,Elbasatna,0.78,0.55,0.45,5.16,1.96,0.31,0.8,0.56,0.44,5.31,2.02,0.31,0.34,0.13,0.1,0.68,0.26,0.16,0.86,0.9,0.87,8.9,3.38,0.35,0.05,0.13,0.13,1.32,0.5,0.02,0.77,0.48,0.37,4.52,1.71,0.3,0.25,0.81,0.63,0.52,6,2.28,0.32,0.75
2021-2022,Wad_Figda,Hag Abdalla and North West Sennar,0.75,0.52,0.48,4.6,1.74,0.29,0.77,0.53,0.47,4.7,1.78,0.29,0.04,0.08,0.18,0.24,0.09,0.1,0.86,0.82,0.92,7.72,2.93,0.36,0.07,0.12,0.12,1.2,0.46,0.02,0.74,0.45,0.4,4.01,1.52,0.28,0.25,0.79,0.6,0.55,5.41,2.05,0.3,0.75
2021-2022,Al_Toman,Wad Elnaw,0.76,0.5,0.5,4.46,1.69,0.29,0.78,0.51,0.49,4.67,1.77,0.3,0.09,0.09,0.16,0.32,0.12,0.11,0.85,0.84,0.91,7.89,2.99,0.34,0.08,0.13,0.13,1.35,0.51,0.03,0.75,0.42,0.42,3.8,1.44,0.29,0.25,0.8,0.58,0.58,5.35,2.03,0.31,0.75
2021-2022,Hag_Abdalla,Hag Abdalla and North West Sennar,0.78,0.53,0.47,4.73,1.8,0.29,0.79,0.54,0.46,4.94,1.87,0.29,0.16,0.08,0.17,0.32,0.12,0.12,0.87,0.83,0.92,7.79,2.96,0.33,0.06,0.12,0.12,1.14,0.43,0.02,0.76,0.47,0.39,4.22,1.6,0.29,0.25,0.81,0.61,0.53,5.5,2.09,0.3,0.75
2021-2022,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.79,0.56,0.44,4.94,1.88,0.29,0.8,0.57,0.43,5.18,1.97,0.3,0.11,0.08,0.09,0.29,0.11,0.12,0.88,0.91,0.92,8.58,3.25,0.33,0.06,0.13,0.13,1.27,0.48,0.02,0.77,0.49,0.36,4.33,1.64,0.29,0.25,0.82,0.64,0.51,5.76,2.19,0.3,0.75
2021-2022,Hadad,Hag Abdalla and North West Sennar,0.75,0.51,0.49,4.49,1.7,0.28,0.78,0.52,0.48,4.75,1.8,0.29,0.25,0.11,0.27,0.47,0.18,0.14,0.84,0.73,0.89,6.55,2.48,0.32,0.08,0.12,0.12,1.22,0.46,0.03,0.74,0.46,0.42,4.07,1.54,0.28,0.25,0.8,0.58,0.54,5.29,2.01,0.3,0.75
2021-2022,Gundal,Hag Abdalla and North West Sennar,0.77,0.52,0.48,4.44,1.68,0.28,0.78,0.51,0.49,4.5,1.71,0.28,0.49,0.18,0.21,0.98,0.37,0.18,0.85,0.79,0.82,7.45,2.83,0.31,0.05,0.12,0.12,1.18,0.45,0.02,0.75,0.44,0.4,3.7,1.4,0.27,0.25,0.8,0.6,0.56,5.19,1.97,0.29,0.75
2021-2022,Fahal,El_Mukhtar,0.73,0.45,0.55,4.12,1.56,0.29,0.75,0.47,0.53,4.35,1.65,0.3,0,0.08,0.2,0,0,0,0.84,0.8,0.92,7.56,2.87,0.35,0.08,0.1,0.1,1.14,0.43,0.03,0.72,0.4,0.48,3.54,1.34,0.29,0.25,0.77,0.52,0.6,4.89,1.86,0.31,0.75
2021-2022,Hamadna_Allah,El_Mukhtar,0.75,0.48,0.52,4.76,1.8,0.32,0.77,0.5,0.5,5,1.9,0.32,0,0.06,0.19,0,0,0,0.87,0.81,0.94,8.25,3.13,0.38,0.08,0.11,0.11,1.28,0.49,0.03,0.74,0.43,0.45,4.2,1.59,0.31,0.25,0.79,0.55,0.57,5.62,2.13,0.34,0.75
2021-2022,Um_Degina,El_Mukhtar,0.75,0.48,0.52,4.86,1.84,0.32,0.76,0.49,0.51,5.05,1.92,0.33,0,0.07,0.24,0.1,0.04,0.05,0.85,0.76,0.93,8.05,3.05,0.4,0.06,0.1,0.1,1.19,0.45,0.03,0.74,0.43,0.46,4.35,1.65,0.32,0.25,0.78,0.54,0.57,5.63,2.14,0.34,0.75
2021-2022,Shaliee_Al_Riyasa,Shaliee,0.77,0.51,0.49,5.48,2.08,0.34,0.79,0.54,0.46,5.76,2.19,0.35,0,0.07,0.21,0,0,0,0.85,0.79,0.93,9.31,3.53,0.41,0.07,0.11,0.11,1.47,0.56,0.04,0.76,0.46,0.41,4.75,1.8,0.33,0.25,0.8,0.59,0.54,6.48,2.46,0.36,0.75
2021-2022,Wad_Elzain,Shaliee,0.77,0.48,0.52,5.26,2,0.35,0.79,0.5,0.5,5.57,2.11,0.36,0,0.05,0.23,0,0,0,0.86,0.77,0.95,8.58,3.25,0.42,0.08,0.12,0.12,1.57,0.6,0.04,0.76,0.42,0.43,4.49,1.7,0.35,0.25,0.81,0.57,0.58,6.36,2.41,0.37,0.75
2021-2022,Shandi,Shaliee,0.77,0.47,0.53,5.42,2.06,0.36,0.79,0.5,0.5,5.75,2.18,0.37,0,0.06,0.24,0.06,0.02,0.03,0.87,0.76,0.94,9.03,3.43,0.43,0.1,0.13,0.13,1.7,0.65,0.04,0.76,0.41,0.43,4.63,1.76,0.36,0.25,0.81,0.57,0.59,6.58,2.5,0.38,0.75
2021-2022,Elhurga_Nuraldin,Elhurga/Nuraldin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75
2021-2022,El_Sharqi_Al_Riyasa,Al Genied,0.74,0.35,0.65,3.74,1.42,0.34,0.77,0.34,0.66,3.67,1.39,0.35,0,0.03,0.32,0.03,0.01,0.02,0.86,0.68,0.97,7.55,2.86,0.42,0.12,0.14,0.14,1.76,0.67,0.05,0.71,0.24,0.53,2.34,0.89,0.32,0.25,0.81,0.47,0.76,5.33,2.02,0.37,0.75
2021-2022,El_Ariga,EL_Mansi,0.77,0.48,0.52,5.27,2,0.35,0.79,0.49,0.51,5.48,2.08,0.36,0,0.07,0.24,0.19,0.07,0.08,0.86,0.76,0.93,9.39,3.56,0.42,0.07,0.12,0.12,1.54,0.58,0.03,0.76,0.41,0.44,4.45,1.69,0.35,0.25,0.81,0.56,0.59,6.3,2.39,0.37,0.75
2021-2022,Shakir,EL_Mansi,0.76,0.44,0.56,5.15,1.95,0.37,0.79,0.46,0.54,5.41,2.05,0.38,0,0.05,0.2,0.04,0.02,0.03,0.88,0.8,0.95,9.66,3.66,0.44,0.09,0.12,0.12,1.63,0.62,0.04,0.75,0.37,0.48,4.3,1.63,0.36,0.25,0.81,0.52,0.63,6.23,2.36,0.39,0.75
2021-2022,EL_Nala,El_Tahameed,0.78,0.45,0.55,5.66,2.15,0.39,0.8,0.46,0.54,5.96,2.26,0.4,0,0.04,0.19,0,0,0,0.88,0.81,0.96,10.7,4.06,0.47,0.09,0.14,0.14,2.01,0.76,0.04,0.76,0.35,0.45,4.5,1.71,0.39,0.25,0.83,0.55,0.65,7.07,2.68,0.42,0.75
2021-2022,EL_Mansi_Al_Riyasa,EL_Mansi,0.77,0.48,0.52,5.27,2,0.35,0.79,0.49,0.51,5.53,2.1,0.36,0,0.07,0.21,0.05,0.02,0.02,0.86,0.79,0.93,9.26,3.51,0.43,0.08,0.12,0.12,1.6,0.61,0.04,0.76,0.41,0.44,4.46,1.69,0.35,0.25,0.81,0.56,0.59,6.38,2.42,0.37,0.75
2021-2022,El_Tahameed_Al_Riyasa,El_Tahameed,0.8,0.51,0.49,6.2,2.35,0.38,0.81,0.53,0.47,6.41,2.43,0.38,0.1,0.06,0.16,0.34,0.13,0.17,0.86,0.84,0.94,10.79,4.09,0.45,0.05,0.12,0.12,1.62,0.61,0.03,0.79,0.45,0.4,5.39,2.05,0.38,0.25,0.83,0.6,0.55,7.3,2.77,0.39,0.75
2021-2022,Tku,El_Tahameed,0.77,0.46,0.54,5.36,2.03,0.37,0.79,0.47,0.53,5.65,2.14,0.38,0,0.05,0.2,0.12,0.05,0.07,0.88,0.8,0.95,9.34,3.55,0.43,0.08,0.12,0.12,1.65,0.63,0.04,0.76,0.39,0.46,4.54,1.72,0.36,0.25,0.81,0.54,0.61,6.53,2.48,0.39,0.75
2021-2022,Al_Tarfa,Elfakhakhir,0.77,0.47,0.53,5.32,2.02,0.35,0.79,0.49,0.51,5.57,2.11,0.36,0,0.05,0.17,0.21,0.08,0.1,0.87,0.83,0.95,9.16,3.48,0.43,0.06,0.12,0.12,1.49,0.56,0.03,0.76,0.41,0.44,4.53,1.72,0.35,0.25,0.8,0.56,0.59,6.38,2.42,0.37,0.75
2021-2022,Al_Taayif,Elfakhakhir,0.77,0.49,0.51,5.27,2,0.34,0.79,0.51,0.49,5.59,2.12,0.35,0,0.07,0.18,0,0,0,0.86,0.82,0.93,9.44,3.58,0.43,0.08,0.13,0.13,1.62,0.61,0.04,0.76,0.42,0.42,4.43,1.68,0.34,0.25,0.81,0.58,0.58,6.41,2.43,0.36,0.75
2021-2022,Al_Krimit,Elfakhakhir,0.77,0.5,0.5,5.38,2.04,0.34,0.79,0.52,0.48,5.71,2.17,0.35,0,0.06,0.22,0,0,0,0.86,0.78,0.94,9.2,3.49,0.42,0.09,0.12,0.12,1.66,0.63,0.05,0.76,0.44,0.42,4.62,1.75,0.33,0.25,0.81,0.58,0.56,6.5,2.47,0.37,0.75
2021-2022,Hegeliga,Elhafair,0.77,0.47,0.53,4.92,1.87,0.33,0.79,0.49,0.51,5.27,2,0.34,0,0.07,0.19,0.17,0.06,0.08,0.86,0.81,0.93,8.79,3.34,0.41,0.07,0.12,0.12,1.56,0.59,0.04,0.75,0.4,0.44,4.07,1.55,0.32,0.25,0.81,0.56,0.6,6.05,2.3,0.35,0.75
2021-2022,Elfakhakhir_Al_Riyasa,Elfakhakhir,0.75,0.44,0.56,4.67,1.77,0.33,0.78,0.46,0.54,4.95,1.88,0.34,0,0.06,0.21,0.19,0.07,0.09,0.86,0.79,0.94,9.18,3.48,0.41,0.09,0.13,0.13,1.65,0.63,0.04,0.74,0.36,0.47,3.62,1.37,0.32,0.25,0.8,0.53,0.64,5.87,2.23,0.36,0.75
2021-2022,Matouri_Al_Riyasa,Matouri,0.76,0.45,0.55,4.67,1.77,0.32,0.78,0.47,0.53,4.95,1.88,0.34,0,0.05,0.2,0.09,0.04,0.06,0.87,0.8,0.95,8.58,3.25,0.41,0.08,0.12,0.12,1.56,0.59,0.04,0.74,0.38,0.47,3.79,1.44,0.32,0.25,0.81,0.53,0.62,5.74,2.18,0.35,0.75
2021-2022,El_Zafir,Elhafair,0.75,0.44,0.56,4.79,1.82,0.34,0.77,0.46,0.54,5.06,1.92,0.35,0,0.06,0.23,0.23,0.09,0.11,0.85,0.77,0.94,9.87,3.75,0.42,0.09,0.12,0.12,1.53,0.58,0.04,0.74,0.38,0.48,4.02,1.52,0.33,0.25,0.79,0.52,0.62,5.83,2.21,0.36,0.75
2021-2022,Elhafair_Al_Riyasa,Elhafair,0.76,0.42,0.58,4.82,1.83,0.35,0.78,0.44,0.56,5.19,1.97,0.36,0.14,0.05,0.27,0.31,0.12,0.18,0.85,0.73,0.95,9.59,3.64,0.42,0.08,0.13,0.13,1.64,0.62,0.04,0.75,0.35,0.49,3.97,1.51,0.34,0.25,0.8,0.51,0.65,5.96,2.26,0.37,0.75
2021-2022,Um_Suneita,Matouri,0.74,0.38,0.62,4.17,1.58,0.33,0.77,0.4,0.6,4.52,1.72,0.34,0,0.06,0.33,0.07,0.03,0.04,0.86,0.67,0.94,7.97,3.03,0.39,0.09,0.11,0.11,1.42,0.54,0.04,0.73,0.32,0.54,3.39,1.29,0.33,0.25,0.79,0.46,0.68,5.14,1.95,0.35,0.75
2021-2022,Disheinat,Matouri,0.76,0.45,0.55,4.56,1.73,0.32,0.78,0.47,0.53,4.81,1.82,0.33,0,0.07,0.19,0.21,0.08,0.08,0.86,0.81,0.93,8.34,3.16,0.38,0.08,0.11,0.11,1.42,0.54,0.04,0.74,0.38,0.47,3.81,1.45,0.31,0.25,0.8,0.53,0.62,5.56,2.11,0.34,0.75
2021-2022,Um_Gargor,Elshawal,0.77,0.5,0.5,4.91,1.86,0.31,0.78,0.51,0.49,5.06,1.92,0.31,0.52,0.18,0.26,1.19,0.45,0.2,0.85,0.74,0.82,7.71,2.92,0.39,0.04,0.08,0.08,1.03,0.39,0.02,0.75,0.46,0.44,4.39,1.66,0.3,0.25,0.79,0.56,0.54,5.57,2.11,0.32,0.75
2021-2022,Al_Gamosi,Gabouga,0.75,0.44,0.56,4.46,1.69,0.31,0.78,0.46,0.54,4.76,1.81,0.33,0,0.06,0.26,0.12,0.05,0.04,0.86,0.74,0.94,7.68,2.92,0.38,0.09,0.12,0.12,1.48,0.56,0.04,0.74,0.37,0.47,3.55,1.35,0.31,0.25,0.8,0.53,0.63,5.56,2.11,0.34,0.75
2021-2022,Gabouga,Gabouga,0.76,0.46,0.54,4.51,1.71,0.31,0.78,0.48,0.52,4.82,1.83,0.32,0,0.06,0.27,0.12,0.05,0.05,0.87,0.73,0.94,8.07,3.06,0.37,0.09,0.12,0.12,1.41,0.54,0.04,0.75,0.39,0.46,3.73,1.42,0.3,0.25,0.8,0.54,0.61,5.52,2.09,0.33,0.75
2021-2022,Elshawal_Al_Riyasa,Elshawal,0.77,0.48,0.52,4.74,1.8,0.31,0.78,0.49,0.51,4.87,1.85,0.31,0.26,0.11,0.26,0.5,0.19,0.15,0.85,0.74,0.89,8.01,3.04,0.37,0.04,0.1,0.1,1.17,0.44,0.03,0.76,0.43,0.45,4.17,1.58,0.3,0.25,0.79,0.55,0.57,5.5,2.09,0.32,0.75
2021-2022,El_waha,Elshawal,0.77,0.49,0.51,4.73,1.8,0.3,0.77,0.51,0.49,4.87,1.85,0.3,0.36,0.11,0.28,0.56,0.21,0.15,0.85,0.72,0.89,7.52,2.85,0.35,0.04,0.09,0.09,1.08,0.41,0.02,0.76,0.45,0.44,4.21,1.6,0.29,0.25,0.79,0.56,0.55,5.43,2.06,0.31,0.75
